Condition	Info	Frequency	Block	Timing File	TaskObject#1	TaskObject#2	TaskObject#3	TaskObject#4	TaskObject#5	TaskObject#6	TaskObject#7	TaskObject#8
57	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_194R_crop_8000,15.00,0.00,175,175)	pic(DBear_wicker3,0.00,15.00,175,175)	pic(DBear_wig3,0.00,-15.00,175,175)	pic(DBear_watpump7,-15.00,0.00,175,175)
58	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_194R_crop_8000,0.00,-15.00,175,175)	pic(DBear_panholes,15.00,0.00,175,175)	pic(DBear_flashl35,0.00,15.00,175,175)	pic(DBear_lamp76,-15.00,0.00,175,175)
59	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_36R_crop_8000,0.00,15.00,175,175)	pic(DBear_razor9,-15.00,0.00,175,175)	pic(DBear_brokumbr,15.00,0.00,175,175)	pic(DBear_doll87,0.00,-15.00,175,175)
60	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_20R_crop_8000,0.00,-15.00,175,175)	pic(DBear_earphon8,0.00,15.00,175,175)	pic(DBear_66fairla,15.00,0.00,175,175)	pic(DBear_vacuum10,-15.00,0.00,175,175)
61	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_63R_crop_8000,0.00,-15.00,175,175)	pic(DBear_thermo21,-15.00,0.00,175,175)	pic(DBear_modcar2,15.00,0.00,175,175)	pic(DBear_cookpo80,0.00,15.00,175,175)
62	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_142R_crop_8000,15.00,0.00,175,175)	pic(DBear_reelreel,-15.00,0.00,175,175)	pic(DBear_fishlu38,0.00,15.00,175,175)	pic(DBear_antcar31,0.00,-15.00,175,175)
63	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_142R_crop_8000,-15.00,0.00,175,175)	pic(DBear_Viper3,15.00,0.00,175,175)	pic(DBear_doll171,0.00,15.00,175,175)	pic(DBear_screw21,0.00,-15.00,175,175)
64	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_63R_crop_8000,-15.00,0.00,175,175)	pic(DBear_duster7,15.00,0.00,175,175)	pic(DBear_digfork,0.00,-15.00,175,175)	pic(DBear_wreathri,0.00,15.00,175,175)
65	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_20R_crop_8000,-15.00,0.00,175,175)	pic(DBear_doll161,0.00,15.00,175,175)	pic(DBear_briefc55,15.00,0.00,175,175)	pic(DBear_sushi8,0.00,-15.00,175,175)
66	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_194R_crop_8000,0.00,-15.00,175,175)	pic(DBear_snaptur3,-15.00,0.00,175,175)	pic(DBear_pictfr24,15.00,0.00,175,175)	pic(DBear_foodpro5,0.00,15.00,175,175)
67	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_194R_crop_8000,-15.00,0.00,175,175)	pic(DBear_smokde14,0.00,-15.00,175,175)	pic(DBear_painted7,15.00,0.00,175,175)	pic(DBear_seashe25,0.00,15.00,175,175)
68	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_129R_crop_8000,0.00,-15.00,175,175)	pic(DBear_fishlu5,15.00,0.00,175,175)	pic(DBear_watpump7,0.00,15.00,175,175)	pic(DBear_lightbu3,-15.00,0.00,175,175)
69	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_146R_crop_8000,-15.00,0.00,175,175)	pic(DBear_salami,0.00,-15.00,175,175)	pic(DBear_mallard3,15.00,0.00,175,175)	pic(DBear_straine8,0.00,15.00,175,175)
70	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_63R_crop_8000,0.00,-15.00,175,175)	pic(DBear_paintb16,-15.00,0.00,175,175)	pic(DBear_scisso12,0.00,15.00,175,175)	pic(DBear_94ZR-1,15.00,0.00,175,175)
71	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_194R_crop_8000,0.00,-15.00,175,175)	pic(DBear_cricket4,15.00,0.00,175,175)	pic(DBear_wig116,0.00,15.00,175,175)	pic(DBear_frame11,-15.00,0.00,175,175)
72	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_110R_crop_8000,0.00,-15.00,175,175)	pic(DBear_pictfr24,0.00,15.00,175,175)	pic(DBear_desklig4,-15.00,0.00,175,175)	pic(DBear_sushi8,15.00,0.00,175,175)
73	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_36R_crop_8000,-15.00,0.00,175,175)	pic(DBear_cutboar7,0.00,-15.00,175,175)	pic(DBear_longbe12,0.00,15.00,175,175)	pic(DBear_foodpro5,15.00,0.00,175,175)
74	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_63R_crop_8000,15.00,0.00,175,175)	pic(DBear_whisk5,0.00,15.00,175,175)	pic(DBear_scarab3,0.00,-15.00,175,175)	pic(DBear_pineapp6,-15.00,0.00,175,175)
75	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_146R_crop_8000,-15.00,0.00,175,175)	pic(DBear_shrimp3,0.00,15.00,175,175)	pic(DBear_toad2,0.00,-15.00,175,175)	pic(DBear_footst22,15.00,0.00,175,175)
76	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_110R_crop_8000,0.00,15.00,175,175)	pic(DBear_tealcar,-15.00,0.00,175,175)	pic(DBear_wmnbikpr,0.00,-15.00,175,175)	pic(DBear_heartpen,15.00,0.00,175,175)
77	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_63R_crop_8000,15.00,0.00,175,175)	pic(DBear_antiqu14,0.00,-15.00,175,175)	pic(DBear_rabbit6,-15.00,0.00,175,175)	pic(DBear_bupres5,0.00,15.00,175,175)
78	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_63R_crop_8000,0.00,-15.00,175,175)	pic(DBear_meather3,15.00,0.00,175,175)	pic(DBear_typewr10,-15.00,0.00,175,175)	pic(DBear_brownb21,0.00,15.00,175,175)
79	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_129R_crop_8000,0.00,-15.00,175,175)	pic(DBear_coppan3,0.00,15.00,175,175)	pic(DBear_antiron9,-15.00,0.00,175,175)	pic(DBear_whisk5,15.00,0.00,175,175)
80	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_36R_crop_8000,-15.00,0.00,175,175)	pic(DBear_mirror2,0.00,15.00,175,175)	pic(DBear_hanger3,0.00,-15.00,175,175)	pic(DBear_salami,15.00,0.00,175,175)
81	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_142R_crop_8000,0.00,-15.00,175,175)	pic(DBear_jagss103,15.00,0.00,175,175)	pic(DBear_jewelb27,0.00,15.00,175,175)	pic(DBear_picninct,-15.00,0.00,175,175)
82	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_20R_crop_8000,15.00,0.00,175,175)	pic(DBear_96gt,-15.00,0.00,175,175)	pic(DBear_flashl18,0.00,-15.00,175,175)	pic(DBear_browtro2,0.00,15.00,175,175)
83	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_110R_crop_8000,-15.00,0.00,175,175)	pic(DBear_wickpitc,15.00,0.00,175,175)	pic(DBear_digfork,0.00,-15.00,175,175)	pic(DBear_minipil2,0.00,15.00,175,175)
84	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_212R_crop_8000,0.00,-15.00,175,175)	pic(DBear_antcar3,-15.00,0.00,175,175)	pic(DBear_brush9,15.00,0.00,175,175)	pic(DBear_belgwaf4,0.00,15.00,175,175)
85	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_129R_crop_8000,-15.00,0.00,175,175)	pic(DBear_mask53,0.00,15.00,175,175)	pic(DBear_tigerfac,15.00,0.00,175,175)	pic(DBear_alarmsy8,0.00,-15.00,175,175)
86	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_129R_crop_8000,0.00,15.00,175,175)	pic(DBear_brush9,-15.00,0.00,175,175)	pic(DBear_streesw6,15.00,0.00,175,175)	pic(DBear_asianmas,0.00,-15.00,175,175)
87	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_146R_crop_8000,15.00,0.00,175,175)	pic(DBear_wmnbikpr,0.00,-15.00,175,175)	pic(DBear_earphon8,0.00,15.00,175,175)	pic(DBear_breadbs5,-15.00,0.00,175,175)
88	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_110R_crop_8000,-15.00,0.00,175,175)	pic(DBear_doll175,0.00,15.00,175,175)	pic(DBear_modelho2,15.00,0.00,175,175)	pic(DBear_whisk5,0.00,-15.00,175,175)
89	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_129R_crop_8000,-15.00,0.00,175,175)	pic(DBear_brooch36,0.00,-15.00,175,175)	pic(DBear_metjug2,15.00,0.00,175,175)	pic(DBear_Viper3,0.00,15.00,175,175)
90	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_165R_crop_8000,0.00,15.00,175,175)	pic(DBear_bracel31,-15.00,0.00,175,175)	pic(DBear_frame109,15.00,0.00,175,175)	pic(DBear_earphon8,0.00,-15.00,175,175)
91	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_110R_crop_8000,-15.00,0.00,175,175)	pic(DBear_antiqr41,0.00,15.00,175,175)	pic(DBear_frame11,15.00,0.00,175,175)	pic(DBear_praymant,0.00,-15.00,175,175)
92	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_165R_crop_8000,0.00,-15.00,175,175)	pic(DBear_brush26,-15.00,0.00,175,175)	pic(DBear_chesset2,0.00,15.00,175,175)	pic(DBear_cricket4,15.00,0.00,175,175)
93	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_212R_crop_8000,0.00,15.00,175,175)	pic(DBear_table2,15.00,0.00,175,175)	pic(DBear_neklace2,-15.00,0.00,175,175)	pic(DBear_glases17,0.00,-15.00,175,175)
94	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_146R_crop_8000,0.00,-15.00,175,175)	pic(DBear_dolchair,0.00,15.00,175,175)	pic(DBear_94ZR-1,-15.00,0.00,175,175)	pic(DBear_woodbo11,15.00,0.00,175,175)
95	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_146R_crop_8000,15.00,0.00,175,175)	pic(DBear_Egyptfi5,-15.00,0.00,175,175)	pic(DBear_casket2,0.00,15.00,175,175)	pic(DBear_seashe25,0.00,-15.00,175,175)
96	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_146R_crop_8000,-15.00,0.00,175,175)	pic(DBear_orichil2,15.00,0.00,175,175)	pic(DBear_sushi8,0.00,-15.00,175,175)	pic(DBear_doll171,0.00,15.00,175,175)
97	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_165R_crop_8000,0.00,-15.00,175,175)	pic(DBear_woodcabi,-15.00,0.00,175,175)	pic(DBear_earphon8,15.00,0.00,175,175)	pic(DBear_manjui2,0.00,15.00,175,175)
98	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_165R_crop_8000,0.00,15.00,175,175)	pic(DBear_steakdi2,15.00,0.00,175,175)	pic(DBear_coppan3,-15.00,0.00,175,175)	pic(DBear_shavingb,0.00,-15.00,175,175)
99	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_212R_crop_8000,-15.00,0.00,175,175)	pic(DBear_uscan,15.00,0.00,175,175)	pic(DBear_endtab33,0.00,15.00,175,175)	pic(DBear_straine8,0.00,-15.00,175,175)
100	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_212R_crop_8000,0.00,-15.00,175,175)	pic(DBear_cushio91,15.00,0.00,175,175)	pic(DBear_watpump7,-15.00,0.00,175,175)	pic(DBear_workgl19,0.00,15.00,175,175)
101	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_194R_crop_8000,15.00,0.00,175,175)	pic(DBear_cricket2,0.00,-15.00,175,175)	pic(DBear_brush9,-15.00,0.00,175,175)	pic(DBear_tongs15,0.00,15.00,175,175)
102	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_36R_crop_8000,15.00,0.00,175,175)	pic(DBear_mask14,0.00,-15.00,175,175)	pic(DBear_cricket4,0.00,15.00,175,175)	pic(DBear_syringe5,-15.00,0.00,175,175)
103	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_36R_crop_8000,0.00,-15.00,175,175)	pic(DBear_denply2,15.00,0.00,175,175)	pic(DBear_nightab3,0.00,15.00,175,175)	pic(DBear_raceca20,-15.00,0.00,175,175)
104	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_212R_crop_8000,0.00,-15.00,175,175)	pic(DBear_alarmsy8,0.00,15.00,175,175)	pic(DBear_razor9,15.00,0.00,175,175)	pic(DBear_silvlamp,-15.00,0.00,175,175)
105	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_110R_crop_8000,0.00,15.00,175,175)	pic(DBear_glases17,0.00,-15.00,175,175)	pic(DBear_tractwh5,-15.00,0.00,175,175)	pic(DBear_digfork,15.00,0.00,175,175)
106	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,10.61)	pic(TBear_142R_crop_8000,0.00,15.00,175,175)	pic(DBear_snake3,15.00,0.00,175,175)	pic(DBear_compute4,0.00,-15.00,175,175)	pic(DBear_denply2,-15.00,0.00,175,175)
107	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_20R_crop_8000,15.00,0.00,175,175)	pic(DBear_denply2,0.00,15.00,175,175)	pic(DBear_fish15,0.00,-15.00,175,175)	pic(DBear_pilljar2,-15.00,0.00,175,175)
108	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_20R_crop_8000,0.00,-15.00,175,175)	pic(DBear_stockin6,0.00,15.00,175,175)	pic(DBear_alarmsy8,15.00,0.00,175,175)	pic(DBear_filcabi5,-15.00,0.00,175,175)
109	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,10.61)	pic(TBear_63R_crop_8000,15.00,0.00,175,175)	pic(DBear_mallet13,0.00,15.00,175,175)	pic(DBear_kiwi,-15.00,0.00,175,175)	pic(DBear_scarab7,0.00,-15.00,175,175)
110	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,-10.61,-10.61)	pic(TBear_63R_crop_8000,0.00,15.00,175,175)	pic(DBear_jagss103,-15.00,0.00,175,175)	pic(DBear_doll171,15.00,0.00,175,175)	pic(DBear_pandabe3,0.00,-15.00,175,175)
111	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_142R_crop_8000,15.00,0.00,175,175)	pic(DBear_broach43,0.00,-15.00,175,175)	pic(DBear_pictfr24,0.00,15.00,175,175)	pic(DBear_paintb30,-15.00,0.00,175,175)
112	'ifTarget', '1','MOSTTarget', '0','ArOr','180'	1	1	CatSearch_Physiol_ML2	Snd(sin,0.400,500.000)	Snd(sin,0.400,400.000)	Sqr(0.5,[1 0 0],1,0,0)	Sqr(0.5,[0.5 0.5 0.5],1,10.61,-10.61)	pic(TBear_142R_crop_8000,0.00,15.00,175,175)	pic(DBear_sitting2,15.00,0.00,175,175)	pic(DBear_whisk5,-15.00,0.00,175,175)	pic(DBear_wig72,0.00,-15.00,175,175)
